Date,Open,High,Low,Close,Adj Close,Volume
2022-06-29,53500.000000,53700.000000,52800.000000,53000.000000,52142.496094,1475395
2022-06-30,53000.000000,53000.000000,52000.000000,52000.000000,51158.675781,556198
2022-07-01,53100.000000,53500.000000,52200.000000,52800.000000,51945.730469,672843
2022-07-04,52900.000000,53700.000000,52500.000000,53600.000000,52732.789063,603687
2022-07-05,53800.000000,54500.000000,53700.000000,54200.000000,53323.082031,507256
2022-07-06,53600.000000,54400.000000,53100.000000,53800.000000,52929.550781,751897
2022-07-07,54500.000000,54500.000000,53000.000000,53800.000000,52929.550781,638760
2022-07-08,54700.000000,54700.000000,53600.000000,54000.000000,53126.316406,608044
2022-07-11,54100.000000,55000.000000,54000.000000,55000.000000,54110.136719,814554
2022-07-12,55300.000000,55300.000000,54400.000000,55000.000000,54110.136719,574690
2022-07-13,55500.000000,56200.000000,55200.000000,55800.000000,54897.195313,731117
2022-07-14,55400.000000,55400.000000,54400.000000,54900.000000,54011.753906,661139
2022-07-15,54500.000000,54500.000000,53300.000000,53500.000000,52634.406250,548299
2022-07-18,54500.000000,55200.000000,54200.000000,54700.000000,53814.992188,675910
2022-07-19,54900.000000,55000.000000,53700.000000,54000.000000,53126.316406,421152
2022-07-20,54200.000000,54500.000000,53000.000000,53300.000000,52437.640625,665948
2022-07-21,53100.000000,53500.000000,52100.000000,52100.000000,51257.058594,736881
2022-07-22,52100.000000,52100.000000,51500.000000,51800.000000,50961.910156,406284
2022-07-25,51800.000000,52400.000000,51600.000000,51600.000000,50765.148438,406888
2022-07-26,51700.000000,52600.000000,51700.000000,52400.000000,51552.203125,326632
2022-07-27,52600.000000,52900.000000,52300.000000,52600.000000,51748.968750,341730
2022-07-28,52600.000000,53200.000000,52600.000000,52800.000000,51945.730469,295367
2022-07-29,53200.000000,53700.000000,52900.000000,53600.000000,52732.789063,442811
2022-08-01,53000.000000,53900.000000,52800.000000,53600.000000,52732.789063,238404
2022-08-02,53400.000000,53900.000000,52700.000000,52800.000000,51945.730469,298645
2022-08-03,52800.000000,53300.000000,52600.000000,53100.000000,52240.878906,314660
2022-08-04,53500.000000,53500.000000,52700.000000,53200.000000,52339.261719,336241
2022-08-05,53300.000000,53600.000000,53000.000000,53000.000000,52142.496094,335652
2022-08-08,53100.000000,53200.000000,52600.000000,52900.000000,52044.113281,380054
2022-08-09,53000.000000,53400.000000,52700.000000,52900.000000,52044.113281,328873
2022-08-10,53400.000000,54000.000000,52200.000000,52200.000000,51355.437500,611619
2022-08-11,53200.000000,53300.000000,52200.000000,52600.000000,51748.968750,640872
2022-08-12,52300.000000,52500.000000,51600.000000,51900.000000,51060.292969,965741
2022-08-16,52000.000000,52100.000000,51700.000000,51900.000000,51060.292969,729414
2022-08-17,51900.000000,52200.000000,51300.000000,51300.000000,50470.000000,1231874
2022-08-18,51400.000000,51700.000000,51000.000000,51200.000000,50371.617188,716230
2022-08-19,51200.000000,51300.000000,50700.000000,51000.000000,50174.855469,730657
2022-08-22,51000.000000,51500.000000,50700.000000,51400.000000,50568.382813,558645
2022-08-23,51200.000000,51800.000000,51100.000000,51100.000000,50273.238281,869452
2022-08-24,51300.000000,51600.000000,51100.000000,51200.000000,50371.617188,822040
2022-08-25,51200.000000,52400.000000,51200.000000,52300.000000,51453.820313,948339
2022-08-26,51900.000000,52300.000000,51200.000000,51300.000000,50470.000000,912770
2022-08-29,50800.000000,51600.000000,50700.000000,51300.000000,50470.000000,648428
2022-08-30,51300.000000,52300.000000,51000.000000,52000.000000,51158.675781,701851
2022-08-31,51700.000000,52900.000000,51600.000000,52100.000000,51257.058594,4088039
2022-09-01,51800.000000,52800.000000,51800.000000,52400.000000,51552.203125,977398
2022-09-02,52700.000000,53000.000000,52200.000000,52600.000000,51748.968750,705763
2022-09-05,52400.000000,52900.000000,51900.000000,52100.000000,51257.058594,472882
2022-09-06,51700.000000,52100.000000,51100.000000,51300.000000,50470.000000,733924
2022-09-07,51100.000000,52200.000000,51000.000000,52000.000000,51158.675781,810338
2022-09-08,52200.000000,53000.000000,51600.000000,51900.000000,51060.292969,618831
2022-09-13,51500.000000,52100.000000,51400.000000,51800.000000,50961.910156,931520
2022-09-14,51400.000000,51500.000000,51000.000000,51000.000000,50174.855469,705363
2022-09-15,50900.000000,51500.000000,50500.000000,51200.000000,50371.617188,905326
2022-09-16,50900.000000,52400.000000,50700.000000,52400.000000,51552.203125,1729473
2022-09-19,52200.000000,52200.000000,51300.000000,51400.000000,50568.382813,571658
2022-09-20,51900.000000,52200.000000,51400.000000,51800.000000,50961.910156,533272
2022-09-21,51700.000000,51900.000000,51400.000000,51700.000000,50863.527344,579223
2022-09-22,51500.000000,51900.000000,51300.000000,51400.000000,50568.382813,495647
2022-09-23,51700.000000,52800.000000,51500.000000,52700.000000,51847.351563,905884
2022-09-26,52100.000000,53700.000000,52000.000000,53500.000000,52634.406250,1606954
2022-09-27,53400.000000,53400.000000,52100.000000,52500.000000,51650.585938,1009684
2022-09-28,52000.000000,52000.000000,50900.000000,51300.000000,50470.000000,868309
2022-09-29,51200.000000,51300.000000,50000.000000,50000.000000,50000.000000,1114294
2022-09-30,50500.000000,51600.000000,50300.000000,50800.000000,50800.000000,852407
2022-10-04,50400.000000,51500.000000,50100.000000,50900.000000,50900.000000,981441
2022-10-05,51000.000000,51500.000000,50700.000000,50900.000000,50900.000000,639784
